NAME,ADDRESS,VOTES,RATINGS,PHONENUMBER
Rathna Constuction,"No 51/25, Guhan Street Puliyurpuram, Kodambakkam, Chennai - 600024, Near Rangarajapuram Indian Bank",0,,+919444404404+917401127053
Esco Enterprises,"Old No 29 New No 1, Shenoy Nagar, Chennai - 600030, Near Skywalk, Pulla Avenue",2,3.8,+919659931504
Dhinesh Electrical and Plumbing Works,"No 18, Aringhar Anna Street, Kotturpuram, Chennai - 600085, Opp Anna Library",2,3.8,+919152187962
Global Walls,"Devi Apartments, Moorthy Street, Thirumullaivoyal, Chennai - 600062, Near Mangalam Marraige Hall",15,4.7,+919789031071+919600800885
Kuppusami Painter,"No 18/46, 58th Street Ayyapuram, K K Nagar, Chennai - 600078, Next RTO Office",1,5.0,+919092226655+919841232765
Star Painter & Decor,"No:50, MGR 1 St Street, Tvk Nagar, Peravallur-Jawahar Nagar, Chennai - 600082",2,3.5,+919152187524
Just Decors(company Closed),"No 8, ROB Street, Royapettah, Chennai - 600014, Near New College",0,,+919884138558
Anthony Construction,"No 27a, 3rd Main Road 8th Cross Street, Thiruvalluar Nagar, Kodungaiyur, Chennai - 600118, Near Murugan Koil,",3,4.7,+919152957455
Infinity Civil Works,"No, Barners Street, Mogappair East, Chennai - 600037, Opp to Amma Unavagam",2,4.5,+919094826198+919500490043
Motherland Construction,"No 2/6, Perumal Koil Street, Vichoor Post, Vichoor, Chennai - 600103, Near By Insun Jesus Church",2,3.5,+919152829082
Dhuni Homes,"No 1/180B, 2nd Street, Vandalur, Chennai - 600048, Ashatalakshmi Nagar Varatharajapuram",0,,+918939665879
Shyam Associates,"No 17, 7th Street Osh Road, Royapuram, Chennai - 600013, Near Bharathi Arts College",1,4.0,+919840859745
Sanjay Wood Works,"No 3/1, Bashiam 3rd Street, Otteri, Chennai - 600012",1,1.0,+919710476310
Selvaraj Constructions,"No 8/197, Periyarpathai Cross Street, Choolaimedu, Chennai - 600094, Near Fish Market",8,4.6,+919382887981
Black And White Enterprises,"No 3, F-Block, Giriappa Road, Giriappa Road, T Nagar, Chennai - 600017, Cloud nine hospital",3,4.7,04428154004+919840509850+919940340420
Pave Painters,"No 21A, Kumaran Street, Ambattur, Chennai - 600053, Behind Immanuel School",2,4.8,+919152164399
Colourful Solutions,"No 12/24, 2nd Street Janaki Raman Colony Extension, Arumbakkam, Chennai - 600106, Near Jai Nagar SBI Bank",14,4.3,+919884647689+919843928923
Shalom Colours And Wood Finishing Service,"No 23/52 Sheakilar Street, Okkiyam Thoraipakkam, Chennai - 600097, Near Indian Bank",2,4.8,+919152441446
